rank,model_id,sharpe_ratio,direction_accuracy,ic,rank_ic,ic_decay,max_drawdown,total_return,annual_return,win_rate,profit_factor,num_trades,total_costs,buy_hold_return,excess_return,mse,rmse,mae,sortino_ratio,ic_first_half,ic_second_half,ic_mean,ic_std_approx,icir
31,long_term_forecast_WTI-log_HP_lr0.0001_DLinear_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_HP_LR_2,-0.8239466257593149,0.5092358180965776,0.0084039272794298,0.0179911989828149,-0.0192972189249331,0.9999993746197332,-0.9999993706230624,-0.2863646184488901,0.3663579582166703,0.8334545572415865,6516,12.87,-0.964742623554914,-0.0352567470681481,0.0007569051937836,0.0275119100351769,0.0165209128575479,-0.9752388298192378,0.0015334437282689,0.0208306626532021,0.0111820531907355,0.0096486094624666,1.0500951537521535
47,long_term_forecast_WTI-log_DLinear_horizon10_DLinear_custom_ftMS_sl512_ll48_pl10_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_Horizon10_2,-0.8991714232966888,0.512593984962406,0.0081469586680531,0.0236963072562702,-0.0165998054832247,0.9999999999999998,-0.9999999999999998,-0.3474273059615472,0.4177514222350786,0.8279563238194863,13020,31.113,-0.9983180006063498,-0.0016819993936499,0.0007906630305731,0.02811873095595,0.0171515357958878,-1.0707198773572646,0.0020742332456517,0.0186740387288764,0.01037413598726405,0.008299902741612351,1.1155101591380145
79,long_term_forecast_WTI-log_HP_seqlen256_DLinear_custom_ftMS_sl256_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_HP_SeqLen_2,-0.976440903297615,0.5016408813877168,0.008110999617308,0.0002718002559507,-0.0046973273319597,0.9999999973768045,-0.9999999972830624,-0.372521996172572,0.3781487405037985,0.7971109133610496,6568,14.200500000000002,-0.964742623554914,-0.0352573737281484,0.0007701552421212,0.0277516709789024,0.0168170654328014,-1.1412587023366785,0.0068755456298216,0.0115728729617814,0.0092242092958015,0.0023486636659799005,2.7545941354197696
26,long_term_forecast_WTI-log_HP_lr0.0001_DLinear_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_HP_LR_1,-0.7881522242523371,0.5085794655414908,0.0077973126584672,0.0167779896077521,-0.0172012860439616,0.9999982361961284,-0.9999982249240368,-0.2686647301661424,0.3666014350945857,0.8431818747980283,6479,12.6015,-0.964742623554914,-0.0352556013691226,0.0007563426918907,0.0275016852554669,0.0165019790199222,-0.9365507340902248,0.0016371132811053,0.0188383993250669,0.0102377563030861,0.008600643021980799,1.0663615217904283
45,long_term_forecast_WTI-log_HP_dropout0.2_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_Dropout_2,-0.8825400650305091,0.522456633849039,0.0076208118507481,0.0208622642771905,-0.035859385129903,0.9999999220488102,-0.9999999175679288,-0.3198313365333681,0.3926324335295311,0.8253303667941748,6334,13.170000000000002,-0.964742623554914,-0.0352572940130145,0.000765163471984,0.0276615883850524,0.0165738056490026,-1.0422341861599758,-0.0038612605499998,0.0319981245799032,0.014068432014951698,0.0179296925649515,0.7431938985105088
16,long_term_forecast_WTI-log_TimeMixer_pl5_TimeMixer_custom_ftMS_sl512_ll0_pl5_dm32_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,-0.6864621174861834,0.509704641350211,0.0066804977635306,0.0204060991251728,-0.0620040714821756,0.9999973676645318,-0.9999971315114864,-0.2603238891909478,0.4015629696423204,0.8810254199228487,5636,11.665500000000002,-0.964742623554914,-0.0352545079565721,0.0007710491759818,0.0277677722545728,0.0167440934766294,-0.8319763816888972,-0.0119149834197227,0.0500890880624529,0.0190870523213651,0.0310020357410878,0.596432441854285
37,long_term_forecast_WTI-log_TimeMixer_pl5_TimeMixer_custom_ftMS_sl512_ll0_pl5_dm32_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,-0.8626965251614839,0.5070792311298641,0.0062636927751108,0.0227829762252316,-0.0733625938445729,0.9999999672068516,-0.9999999649626408,-0.3334434075455796,0.4081051908546756,0.8342316449790936,5513,11.7945,-0.964742623554914,-0.0352573414077265,0.0007787027188776,0.027905245364943,0.0168704107089168,-1.0166580296379597,-0.0185851695467745,0.0547774242977983,0.0180961273755119,0.0366812969222864,0.4802416279045067
11,long_term_forecast_WTI-log_Crossformer_pl5_Crossformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,-0.5040097744627273,0.5117674636661979,0.0046131040186769,0.0098643151030434,-0.0134377088460022,0.6543316446923875,-0.5766838591746016,-0.0201071737733071,0.2707889125799573,0.7698897453776563,460,0.6930000000000001,-0.964742623554914,0.3880587643803125,0.0007509342679346,0.0274031798872811,0.0164386627916162,-0.1166029381493687,-0.0007891268983347,0.0126485819476674,0.00592972752466635,0.00671885442300105,0.7682134160992382
6,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,-0.1989621428246391,0.5377402719174871,0.0030955009961746,0.0266874317235239,-0.0696302846533944,0.9999776806580007,-0.9175888736793836,-0.057272526901056,0.5093085106382979,1.0144550284272718,974,1.467,-0.964742623554914,0.0471537498755304,0.0007551204792155,0.0274794555844104,0.0163870373517561,-0.1739601266778142,-0.0373677795649417,0.0322625050884526,-0.002552637238244549,0.03481514232669715,-0.07127256999176504
90,long_term_forecast_WTI-log_HP_dropout0.1_PatchTST_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_Dropout_2,-1.018024913381493,0.4978902953586498,0.0030513736244044,0.0055841129524079,-0.0302719689798383,0.9999999977786304,-0.9999999974351887,-0.3733757231225885,0.3689330124348174,0.7859825895217184,7291,15.9195,-0.964742623554914,-0.0352573738802746,0.000767217941937,0.0276986992824042,0.0167608585728079,-1.2557197521831902,-0.0058818310872673,0.0243901378925709,0.009254153402651798,0.0151359844899191,0.5735103060140705
