rank,model_id,sharpe_ratio,direction_accuracy,ic,rank_ic,ic_decay,max_drawdown,total_return,annual_return,win_rate,profit_factor,num_trades,total_costs,buy_hold_return,excess_return,mse,rmse,mae,sortino_ratio,ic_first_half,ic_second_half
1,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,0.09916885719384595,0.5327707454289733,0.030911802913832765,0.05530881867238075,0.017694909081453616,0.9999736382782343,11.67953764760063,0.061854204170314064,0.5336706889840405,1.0811642039131237,76,0.11550000000000002,-0.9647426235549141,12.644280271155544,0.0007800324005563888,0.0279290601445231,0.016864906654803155,0.1106873663433425,0.05893093532393869,0.041236026242485076
2,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,0.07981587152065513,0.5323019221753399,0.0272834676987486,0.0516328491272442,0.0008605164499680337,0.9999736382782343,8.125379098991727,0.053633263840934475,0.5286904875945971,1.0761630662193793,156,0.23550000000000001,-0.9647426235549141,9.090121722546641,0.0007747620922400269,0.02783454853666621,0.016757831809900356,0.09109399350347283,0.04039486878896155,0.039534352338993516
3,long_term_forecast_WTI-log_Informer_pl5_Informer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,0.004161620341775497,0.5323019221753399,0.03439453300075575,0.05290971944471191,0.02011881776049556,0.9999710691411345,1.483472794307406,0.021726686882593382,0.5112687002137167,1.060506486977048,974,1.5930000000000004,-0.9647426235549141,2.44821541786232,0.0007751514414428048,0.027841541649894403,0.016756547023198655,0.004692888490984047,0.05290318135565223,0.03278436359515667
4,long_term_forecast_WTI-log_Informer_pl5_Informer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,-0.04244779279130927,0.5361462728551336,0.029212823648397775,0.05873809066681767,0.021705784202845333,0.9999736382782343,0.0980258477378897,0.002212053739525155,0.522202486678508,1.0504030497213748,510,0.7665,-0.9647426235549141,1.0627684712928038,0.0007600270660297348,0.027568588393853878,0.01645863947993275,-0.04673106040358419,0.051819437947122196,0.030113653744276863
5,long_term_forecast_WTI-log_Informer_pl5_Informer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,-0.09828408710335763,0.5294889826535396,0.023489188280705325,0.04955149881165574,0.019906378280644035,0.9999681265330778,-0.5508291641476224,-0.01873357432201106,0.4867528613819415,1.0375773253867526,1384,2.0835,-0.9647426235549141,0.41391345940729174,0.000755277197436534,0.02748230698897991,0.016553446478684744,-0.10747888023328647,0.046334991499106117,0.026428613218462082
6,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,-0.19896214282463917,0.5377402719174871,0.003095500996174634,0.026687431723523912,-0.06963028465339442,0.9999776806580009,-0.9175888736793837,-0.057272526901056,0.5093085106382979,1.0144550284272718,974,1.467,-0.9647426235549141,0.04715374987553045,0.0007551204792155843,0.027479455584410405,0.01638703735175611,-0.17396012667781427,-0.037367779564941764,0.03226250508845266
7,long_term_forecast_WTI-log_Naive_pl5_Naive_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,-0.4627536800826781,0.4971401781528364,0.0022482307391120293,-0.01549951237458376,0.02748717703812895,0.9998162993214054,-0.9997395073215541,-0.17717034315416214,0.48578685161668456,0.9491586536959925,1189,3.2685,-0.9647426235549141,-0.03499688376664001,0.0014984257440830212,0.038709504570363866,0.023701927783839158,-0.5843216592243442,0.00964846519817059,-0.01783871183995836
8,long_term_forecast_WTI-log_Naive_pl5_Naive_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,-0.4637875261743064,0.496671354899203,0.002264036087527608,-0.015486412111243512,0.027441942461761445,0.9998204774327681,-0.99974543199983,-0.17761752802807207,0.4856947563714481,0.9489162494161126,1190,3.2685000000000004,-0.9647426235549141,-0.03500280844491588,0.0014983981787642618,0.038709148515102494,0.023701656506868084,-0.5857877247875525,0.009652181209128788,-0.017789761252632656
9,long_term_forecast_WTI-log_Naive_pl5_Naive_custom_ftMS_sl512_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,-0.46448070504925365,0.4967651195499297,0.002249299439215358,-0.01553264985063153,0.027491140544172177,0.9998231960275856,-0.9997492870429959,-0.17791399066791613,0.48563892145369286,0.9487416001755284,1183,3.2565000000000004,-0.9647426235549141,-0.03500666348808179,0.0014984529874117515,0.03870985646333181,0.023702747055943756,-0.5866301499002246,0.009651151831908013,-0.017839988712264162
10,long_term_forecast_WTI-log_TimesNet_pl5_TimesNet_custom_ftMS_sl512_ll48_pl5_dm64_nh8_el2_dl1_df64_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,-0.47722834789681456,0.5246132208157525,0.00851710602378736,0.015708451112219794,0.02193825083541142,0.9986598963339602,-0.9970751765829602,-0.12878117860110316,0.4428436466698158,0.9372463897540089,2765,4.3485,-0.9647426235549141,-0.03233255302804605,0.0007541839694043967,0.027462410116455487,0.016430523573290026,-0.48804980289603056,0.01562134127493404,-0.006316909560477381
