window_type,arch_name,base_key,model_id,run_idx,n_days,final_strat_pnl,final_bh_pnl,strat_ann_return,strat_ann_vol,strat_sharpe,bh_ann_return,bh_ann_vol,bh_sharpe
POST,TimeMixer,long_term_forecast_WTI-log_TimeMixer_pl5_TimeMixer_custom_ftMS_sl512_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_TimeMixer_pl5_TimeMixer_custom_ftMS_sl512_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,1,2133,0.2867807384525358,0.16309317832036438,0.033881268677936616,0.43508662908856394,0.07787246587860534,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,TimeMixer,long_term_forecast_WTI-log_TimeMixer_pl5_TimeMixer_custom_ftMS_sl512_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_TimeMixer_pl5_TimeMixer_custom_ftMS_sl512_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,2,2133,-1.0801571734503392,0.16309317832036438,-0.1276135057240907,0.43501756070204906,-0.29335253850015347,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_Transformer_,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,0,2133,0.9164161176355813,0.16309317832036438,0.10826857085989991,0.435038382496292,0.24887130702961072,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_Transformer_,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,1,2133,1.2061404726314253,0.16309317832036438,0.14249760858092786,0.4349992147351851,0.32758130073332725,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,WTI-log_Transformer_,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Transformer_pl5_Transformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,2,2133,1.4063201329670207,0.16309317832036438,0.1661475262577071,0.4349659035301544,0.38197827670919676,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,Autoformer,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,0,2133,-1.7277360364394403,0.16309317832036438,-0.20412071316584066,0.43490173184416536,-0.46934904650823855,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,Autoformer,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,1,2133,0.6841727994157959,0.16309317832036438,0.08083054170313211,0.43506205674089277,0.18579083248179434,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,Autoformer,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_Autoformer_pl5_Autoformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_2,2,2133,-0.0470098644617257,0.16309317832036438,-0.0055539080376719886,0.43509172573774857,-0.012764913026683493,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,FedFormer,long_term_forecast_WTI-log_FEDformer_pl5_FEDformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_FEDformer_pl5_FEDformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_0,0,2133,-1.7903778841754308,0.16309317832036438,-0.2115214377928786,0.43488769133618843,-0.4863817532820507,0.019268392375401795,0.435090172583533,0.04428597470034204
POST,FedFormer,long_term_forecast_WTI-log_FEDformer_pl5_FEDformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison,long_term_forecast_WTI-log_FEDformer_pl5_FEDformer_custom_ftMS_sl512_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_ModelComparison_1,1,2133,-0.29885243078962165,0.16309317832036438,-0.03530746017767674,0.4350861788830583,-0.08115049820317694,0.019268392375401795,0.435090172583533,0.04428597470034204
