rank,model_id,composite_score,msIC,msIR,direction_accuracy,ic,rank_ic,ic_second_half,ic_first_half,ic_decay,ic_std,ic_positive_ratio,sharpe_ratio,sortino_ratio,total_return,annual_return,max_drawdown,win_rate,profit_factor,num_trades,total_costs,buy_hold_return,excess_return,mse,rmse,mae
1,long_term_forecast_WTI-log_DLinear_horizon1_DLinear_custom_ftMS_sl512_ll48_pl1_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_Horizon1_1,0.2168529139241655,0.03709656679953711,0.18601724305981146,0.5194197473093122,0.0261462969062247,0.042150937245073496,0.043447801420407425,0.017322958926673362,-0.026124842493734063,0.1994254198660991,0.5742574257425742,-0.9310097050546333,-1.0206082511888785,-0.9804014379246898,-0.3710514576528361,0.9805596407949787,0.4318289786223278,0.8202956557431197,1286,3.1635,-0.49040421826443514,-0.48999721966025467,0.0007957435876180632,0.02820892744536848,0.017258214791992885
2,long_term_forecast_WTI-log_DLinear_horizon3_DLinear_custom_ftMS_sl512_ll48_pl3_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_Horizon3_1,0.19824008604805915,0.03425020821213614,0.09644627028220129,0.5189695550351288,0.025086798510932505,0.03687365935265377,0.041184435024312224,0.016811750995019904,-0.02437268402929232,0.3551221639978426,0.5377049180327869,-0.9551660843196235,-1.0710021021454774,-0.9999944230847981,-0.3787008647358111,0.9999944825921852,0.4273937856689918,0.8133640220841587,3858,9.4755,-0.8661203604644114,-0.1338740626203867,0.0007951673209025777,0.028198711334076556,0.01727612194601489
3,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_1,0.1756135063070727,0.025277298793857792,0.06041158658679193,0.5154242850445382,0.018253967969665743,0.04715600405814649,0.046708879388299804,0.004366873972043781,-0.042342005416256025,0.41841805888581457,0.5266272189349113,-0.7981422631482464,-0.9203194002058473,-0.99999988835857,-0.31493905777633446,0.9999998892597582,0.43327951372400036,0.8589350818290293,6252,15.4575,-0.9647426235549141,-0.035257264803655874,0.0008099681544862896,0.028459939467368682,0.017460105226358727
4,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_0,0.17354899540946403,0.02552394445807113,0.060643363250864266,0.5184247538677919,0.017133931037028195,0.04422771810605448,0.0406997011347029,0.005695940540667166,-0.03500376059403573,0.4208860308833114,0.5226824457593688,-0.8528290571893818,-0.9664190209988243,-0.9999999761772349,-0.33949167475718156,0.9999999763695362,0.43424553401748384,0.8434515542630863,6257,15.532499999999999,-0.9647426235549141,-0.03525735262232077,0.0008093996188978524,0.0284499493654708,0.01745056622925929
5,long_term_forecast_WTI-log_HP_lr0.005_DLinear_custom_ftMS_sl512_ll48_pl5_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_LR_0,0.17206633655434583,0.025862477090767465,0.061471055775199485,0.5181434599156118,0.020611745176089435,0.04061242713340186,0.04312471714428408,0.009150322059191,-0.033974395085093076,0.42072609237991465,0.5207100591715976,-0.9139505345187343,-1.032038776940695,-0.9999999941432869,-0.3610300549621879,0.9999999941905632,0.42952317502617304,0.825320038958296,6343,15.604500000000002,-0.9647426235549141,-0.03525737058837275,0.0008050665947960858,0.028373695473027226,0.017418257364562387
6,long_term_forecast_WTI-log_HP_lr0.005_DLinear_custom_ftMS_sl512_ll48_pl5_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_LR_2,0.1687821429130497,0.026033053913511777,0.06335432519945305,0.5142991092358181,0.0202778500367994,0.04005304023856183,0.04409443647477892,0.008030682583789311,-0.036063753890989605,0.4109120226843885,0.5187376725838264,-0.9318062995468355,-1.0529015575586127,-0.9999999967872241,-0.37003170350314696,0.9999999968131581,0.42896512401406445,0.8211681893731855,6301,15.5715,-0.9647426235549141,-0.03525737323230993,0.0008078692452363036,0.02842304074578059,0.01746079319066368
7,long_term_forecast_WTI-log_HP_lr0.01_DLinear_custom_ftMS_sl512_ll48_pl5_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_LR_0,0.16564988913100967,0.024346096491404234,0.057473218390105996,0.5167369901547116,0.02063533599169172,0.04064421838144301,0.04381575701427616,0.008848108390366887,-0.034967648623909275,0.4236076762945889,0.5187376725838264,-0.8982450563155557,-1.0151422270554682,-0.9999999912736071,-0.3549810602951605,0.9999999913440479,0.4291023441966838,0.8297197928501316,6323,15.541500000000001,-0.9647426235549141,-0.03525736771869292,0.0008050663927332217,0.0283736919122842,0.017419321607940984
8,long_term_forecast_WTI-log_TiDE_pl5_TiDE_custom_ftMS_sl512_ll48_pl5_dm256_nh8_el2_dl2_df256_expand2_dc4_fc1_ebtimeF_dtTrue_ModelComparison_2,0.16539120131630394,0.023528485179233654,0.05610255683040809,0.5143928738865448,0.01919051231230129,0.0452202397530251,0.044612676825616336,0.006766912151100691,-0.03784576467451564,0.41938347391826897,0.514792899408284,-0.8428330189863265,-0.9579737672032638,-0.9999999683348588,-0.3350353652878604,0.9999999686647517,0.43266856600189935,0.8461852244629029,6266,15.543000000000001,-0.9647426235549141,-0.03525734477994469,0.0008082362468865926,0.0284294960716259,0.017452012725726485
9,long_term_forecast_WTI-log_HP_lr0.005_DLinear_custom_ftMS_sl512_ll48_pl5_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_LR_1,0.16464596934871348,0.024132901246052996,0.0569358360883666,0.5165494608532584,0.02241209155496239,0.04077726954478521,0.04343073573543421,0.011750904819080091,-0.031679830916354124,0.42386136577669303,0.5069033530571992,-0.9417117678299038,-1.0529867221391316,-0.999999996978859,-0.37094649764105425,0.9999999970032463,0.4279038718291055,0.8186367304646816,6317,15.5715,-0.9647426235549141,-0.03525737342394486,0.0008046064113412776,0.028365584981474956,0.017428961618507
10,long_term_forecast_WTI-log_HP_lr0.01_DLinear_custom_ftMS_sl512_ll48_pl5_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_HP_LR_2,0.16289389886566286,0.02253820613925197,0.05361475903236274,0.516643225503985,0.02174434725694491,0.0429379085277162,0.046713496331865,0.009058271040912122,-0.03765522529095288,0.4203731686203708,0.5108481262327417,-0.9167456726293384,-1.0309946753607733,-0.9999999944475582,-0.36183503825769026,0.9999999944923785,0.4279180562172463,0.82532680292529,6334,15.5595,-0.9647426235549141,-0.035257370892644024,0.0008048167699908769,0.028369292729831616,0.01740526786921163
