rank,model_id,sharpe_ratio,direction_accuracy,ic,rank_ic,ic_decay,max_drawdown,total_return,annual_return,win_rate,profit_factor,num_trades,total_costs,buy_hold_return,excess_return,mse,rmse,mae,sortino_ratio,ic_first_half,ic_second_half
1,long_term_forecast_POST_COVID_Koopa_pl5_Koopa_custom_ftMS_sl128_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_1,0.11728470350240207,0.5261324041811847,0.10977533677537758,0.10529953818275677,-0.032873144520267406,0.515649421803066,0.27975060733522783,0.04426868690598429,0.4192841490138787,1.0600601600540862,695,1.3485,-0.681777476083663,0.9615280834188908,0.00021966173110206586,0.014820989545305868,0.011193212321119667,0.174426869619004,0.09186038008878901,0.12473352460905641
2,long_term_forecast_POST_COVID_Koopa_pl5_Koopa_custom_ftMS_sl128_ll48_pl5_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_2,-0.17493055642045263,0.5128919860627178,0.07772789333869298,0.07788533117818411,-0.04091800623864379,0.46169792555657496,-0.08645821486466176,-0.015754298374934583,0.40922619047619047,1.004508978891621,682,1.3515,-0.681777476083663,0.5953192612190013,0.00022331265798811135,0.014943649420008198,0.011258497364443655,-0.26239725091662486,0.0545328062471048,0.09545081248574859
3,long_term_forecast_POST_COVID_TimeMixer_pl5_TimeMixer_custom_ftMS_sl128_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_0,-0.2698147584544958,0.5073170731707317,0.03575477251417516,0.044339856559049935,-0.06770594521533362,0.5154308058981895,-0.16301103404075756,-0.030765574506725457,0.38232558139534883,0.9844271695534527,488,0.768,-0.681777476083663,0.5187664420429055,0.0002170609359116809,0.014732988017088756,0.011120697839424803,-0.3697166415671,-0.004164936264329764,0.06354100895100386
4,long_term_forecast_POST_COVID_TimeMixer_pl5_TimeMixer_custom_ftMS_sl128_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_1,-0.3435903470475761,0.50801393728223,0.035899991132918294,0.03590711534237337,-0.06643837136652851,0.5206857066411149,-0.23236793062681138,-0.04537728153780407,0.37207122774133083,0.9680052603124997,528,0.834,-0.681777476083663,0.44940954545685163,0.00021662544184304107,0.014718201039632563,0.011109720514488122,-0.474029613625422,-0.0026324226880404724,0.06380594867848804
5,long_term_forecast_RECENT10_TimeMixer_pl5_TimeMixer_custom_ftMS_sl256_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_RECENT10_1,-0.46827603804092954,0.49944341372912804,-0.015418029955355118,-0.00970204019207174,0.037345626109213936,0.7575292508203555,-0.6036881570747872,-0.08290599589008729,0.45964125560538116,0.9529993814768098,661,1.5795000000000001,-0.8005570403115179,0.19686888323673069,0.0003020940799502529,0.017380853832601347,0.013472524814601459,-0.7502967002335061,0.0018901924548326596,-0.03545543365438128
6,long_term_forecast_POST_COVID_TimeMixer_pl5_TimeMixer_custom_ftMS_sl128_ll0_pl5_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_POST_COVID_2,-0.47808677539597616,0.5198606271777003,0.02960708739802094,0.039520563965083855,-0.054628232851341274,0.46096661931605687,-0.3285018656454516,-0.0675460750893998,0.3635505193578848,0.9381076921876753,544,0.861,-0.681777476083663,0.35327561043821143,0.00021711484982245332,0.014734817603976417,0.011105917829762193,-0.6394940186790234,-0.0013600621904765527,0.05326817066086472
7,long_term_forecast_RECENT10_FEDformer_pl5_FEDformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_1,-0.4969254682043433,0.4920222634508349,-0.028020768398495016,-0.0313556652050315,-0.002075892496315089,0.7086846640547522,-0.6080623749243739,-0.08385726077535105,0.4257239563745769,0.9465156359989423,797,1.5015,-0.8005570403115179,0.192494665387144,0.00021821435496737,0.014772080251859249,0.011414316825670347,-0.8182589724848548,-0.02961648161055417,-0.02754058911423908
8,long_term_forecast_POST_COVID_Autoformer_pl5_Autoformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_2,-0.5360805818173405,0.510801393728223,0.017356281707226914,0.03316372040825422,-0.02273926390168366,0.701038056033805,-0.4366697617935573,-0.09586857898917389,0.424963924963925,0.9379272560504399,578,1.2315,-0.681777476083663,0.2451077142901057,0.00023430424191329377,0.0153069997685142,0.01161310024544214,-0.7669811628780568,0.0038475270993184423,0.026586791001002103
9,long_term_forecast_RECENT10_FEDformer_pl5_FEDformer_custom_ftMS_sl256_ll48_pl5_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_RECENT10_2,-0.6162380584921981,0.49907235621521334,-0.012543709153156498,-0.016220913992001738,-0.06313294105402656,0.7688894242722718,-0.7049160089052249,-0.10785288328035925,0.4343702579666161,0.925224095523252,854,1.7715,-0.8005570403115179,0.09564103140629299,0.00021693963669574588,0.01472887085610251,0.011334340323640162,-0.9866548299823678,-0.045438844649293375,0.017694096404733184
10,long_term_forecast_POST_COVID_iTransformer_pl5_iTransformer_custom_ftMS_sl128_ll48_pl5_dm32_nh4_el2_dl1_df64_expand2_dc4_fc3_ebtimeF_dtTrue_POST_COVID_1,-0.6747785374688668,0.5344947735191637,0.06142755417124626,0.0697482133303598,-0.04855637563913892,0.6648682131863809,-0.5240210870217827,-0.12222894246813487,0.41379310344827586,0.9114088050325181,845,1.8780000000000001,-0.681777476083663,0.15775638906188028,0.00022896425511136043,0.015131564859966085,0.011471329998514237,-0.9771678194516472,0.03499745240106182,0.08355382804020074
